CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20237,ACC,03210,  1,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,MW      1530 1645 BUSN 131 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20241,ACC,03210,  2,"Full Term ... 
21-JAN to 09-MAY",Evening,PRINCIPLES OF ACCTG I,STAFF,"M       1830 1945 BUSN 131 (Class)
M       2000 2115 BUSN 131 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20239,ACC,03210,  3,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,TR      1100 1215 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20282,ACC,03210,  4,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IRCB  Pre-business students only.
","Lin, Tony",TR      1400 1515 BUSN 131 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20283,ACC,03210,  5,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IRCB  Pre-business students only.
","Lin, Tony",TR      1530 1645 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20161,ACC,03210,  6,"Full Term ... 
21-JAN to 09-MAY",Online,PRINCIPLES OF ACCTG I,"Marmon, Richard",   ,Online,,3,32,0,0,0,32,5,0,5,
20242,ACC,03210,  7,"Full Term ... 
21-JAN to 09-MAY",Day,PRINCIPLES OF ACCTG I,STAFF,MW      0930 1045 BUSN 131 (Class),Main,,3,0,0,0,0,0,0,0,0,40
20243,ACC,03210,  8,"Full Term ... 
21-JAN to 09-MAY",Evening,PRINCIPLES OF ACCTG I,STAFF,"T       1830 1945 BUSN 131 (Class)
T       2000 2115 BUSN 131 (Class)",Main,,3,0,0,0,0,0,0,0,0,40
20285,ACC,03211,  1,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IIRCB students only.
","Li, Pei",MW      1400 1515 BUSN 201 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20286,ACC,03211,  2,"Full Term ... 
21-JAN to 09-MAY",Day,"PRINCIPLES OF ACCTG IIRCB students only.
","Allen, Robert M.",MW      1530 1645 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20289,ACC,03211,  3,"Full Term ... 
21-JAN to 09-MAY",Evening,"PRINCIPLES OF ACCTG IIRCB students only.
","Allen, Robert M.",MW      1700 1815 BUSN 101 (Class),Main,,3,35,0,0,0,35,5,0,5,40
